ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,holidays,holidays_lower,holidays_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,weekly,weekly_lower,weekly_upper,zero_oil_production,zero_oil_production_lower,zero_oil_production_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
2015-12-14,146.17390008173874,5.9725369710295535,162.91737696494621,136.30700017963326,154.61082318101296,-0.387086,-0.387086,-0.387086,-0.4021330666012968,-0.4021330666012968,-0.4021330666012968,-0.015047066601296774,-0.015047066601296774,-0.015047066601296774,-0.387086,-0.387086,-0.387086,0.0,0.0,0.0,87.3925413847976
2015-12-15,146.11011951712536,12.024389906423233,164.8234506146121,136.16684578350194,154.71666640439318,-0.387086,-0.387086,-0.387086,-0.39943368632753457,-0.39943368632753457,-0.39943368632753457,-0.012347686327534598,-0.012347686327534598,-0.012347686327534598,-0.387086,-0.387086,-0.387086,0.0,0.0,0.0,87.74881586864333
2015-12-16,146.04633895251195,0.0,165.58475684931503,135.97487000509454,154.79798728306184,-0.387086,-0.387086,-0.387086,-0.4231417641815273,-0.4231417641815273,-0.4231417641815273,-0.03605576418152736,-0.03605576418152736,-0.03605576418152736,-0.387086,-0.387086,-0.387086,0.0,0.0,0.0,84.24803343589272
2015-12-17,145.98255838789854,9.486529803190786,167.73192113498206,135.75402964986426,154.83368568621106,-0.387086,-0.387086,-0.387086,-0.39610929000003703,-0.39610929000003703,-0.39610929000003703,-0.009023290000037057,-0.009023290000037057,-0.009023290000037057,-0.387086,-0.387086,-0.387086,0.0,0.0,0.0,88.15751083247909
2015-12-18,145.91877782328513,9.608402856735822,173.79412803614193,135.5752569968903,154.8669213006914,-0.387086,-0.387086,-0.387086,-0.36732024473115343,-0.36732024473115343,-0.36732024473115343,0.01976575526884657,0.01976575526884657,0.01976575526884657,-0.387086,-0.387086,-0.387086,0.0,0.0,0.0,92.31985664236522
2015-12-19,145.85499725867174,18.528170990309913,174.5744438573531,135.31684410076582,154.95774039015976,-0.387086,-0.387086,-0.387086,-0.34921454415831776,-0.34921454415831776,-0.34921454415831776,0.03787145584168221,0.03787145584168221,0.03787145584168221,-0.387086,-0.387086,-0.387086,0.0,0.0,0.0,94.92031087777201
2015-12-20,145.79121669405833,11.857625186417001,172.28122277518742,135.1250158742211,155.00486999252976,-0.387086,-0.387086,-0.387086,-0.37224940400014156,-0.37224940400014156,-0.37224940400014156,0.014836595999858447,0.014836595999858447,0.014836595999858447,-0.387086,-0.387086,-0.387086,0.0,0.0,0.0,91.52052317123962
2015-12-21,145.72743612944492,6.032943644699326,166.66002783123537,134.83704198188025,155.04472076188014,-0.387086,-0.387086,-0.387086,-0.4021330666013146,-0.4021330666013146,-0.4021330666013146,-0.015047066601314631,-0.015047066601314631,-0.015047066601314631,-0.387086,-0.387086,-0.387086,0.0,0.0,0.0,87.12561535076404
2015-12-22,145.66365556483152,10.44177758527519,170.81429890032277,134.62345527152937,155.10686683781228,-0.387086,-0.387086,-0.387086,-0.39943368632752135,-0.39943368632752135,-0.39943368632752135,-0.012347686327521347,-0.012347686327521347,-0.012347686327521347,-0.387086,-0.387086,-0.387086,0.0,0.0,0.0,87.48068465862849
2015-12-23,145.5998750002181,4.01652042099108,159.40834774730462,134.3419889518247,155.18932017081426,-0.387086,-0.387086,-0.387086,-0.4231417641815076,-0.4231417641815076,-0.4231417641815076,-0.03605576418150765,-0.03605576418150765,-0.03605576418150765,-0.387086,-0.387086,-0.387086,0.0,0.0,0.0,83.99048702801883
2015-12-24,145.53609443560472,3.553800756645229,164.45000465532868,134.0454892090009,155.3354322563225,-0.387086,-0.387086,-0.387086,-0.3961092900000555,-0.3961092900000555,-0.3961092900000555,-0.009023290000055507,-0.009023290000055507,-0.009023290000055507,-0.387086,-0.387086,-0.387086,0.0,0.0,0.0,87.8878953993363
2015-12-25,145.47231387099131,20.61664399366827,173.12517499284837,133.80895133390368,155.39000480299708,-0.387086,-0.387086,-0.387086,-0.3673202447311172,-0.3673202447311172,-0.3673202447311172,0.0197657552688828,0.0197657552688828,0.0197657552688828,-0.387086,-0.387086,-0.387086,0.0,0.0,0.0,92.03738793829689
2015-12-26,145.4085333063779,12.937467587739587,165.74465776906456,133.67281026583683,155.43993676803552,-0.387086,-0.387086,-0.387086,-0.34921454415828423,-0.34921454415828423,-0.34921454415828423,0.03787145584171573,0.03787145584171573,0.03787145584171573,-0.387086,-0.387086,-0.387086,0.0,0.0,0.0,94.62975863106645
2015-12-27,145.3447527417645,10.530583143557436,170.5745726431362,133.3861372648748,155.54405264063723,-0.387086,-0.387086,-0.387086,-0.37224940400020257,-0.37224940400020257,-0.37224940400020257,0.014836595999797409,0.014836595999797409,0.014836595999797409,-0.387086,-0.387086,-0.387086,0.0,0.0,0.0,91.24025515908585
2015-12-28,145.2809721771511,11.773500705631339,168.23830545684046,133.13280392343103,155.6715850606483,-0.387086,-0.387086,-0.387086,-0.40213306660133247,-0.40213306660133247,-0.40213306660133247,-0.015047066601332492,-0.015047066601332492,-0.015047066601332492,-0.387086,-0.387086,-0.387086,0.0,0.0,0.0,86.85868931673046
2015-12-29,145.2171916125377,5.427328887324634,167.20062364881417,132.8500167882841,155.82143102259258,-0.387086,-0.387086,-0.387086,-0.3994336863275213,-0.3994336863275213,-0.3994336863275213,-0.012347686327521304,-0.012347686327521304,-0.012347686327521304,-0.387086,-0.387086,-0.387086,0.0,0.0,0.0,87.21255344861176
2015-12-30,145.1534110479243,0.0,162.2704235508981,132.65156231165568,155.98302034512477,-0.387086,-0.387086,-0.387086,-0.42314176418151545,-0.42314176418151545,-0.42314176418151545,-0.03605576418151547,-0.03605576418151547,-0.03605576418151547,-0.387086,-0.387086,-0.387086,0.0,0.0,0.0,83.73294062014094
2015-12-31,145.08963048331088,2.0934547064184663,167.07997238442962,132.4699226205806,156.1022237085354,-0.387086,-0.387086,-0.387086,-0.39610929000003875,-0.39610929000003875,-0.39610929000003875,-0.009023290000038754,-0.009023290000038754,-0.009023290000038754,-0.387086,-0.387086,-0.387086,0.0,0.0,0.0,87.61827996619864
2016-01-01,145.02584991869747,63.71644660720708,235.99413417359744,132.21757353118835,156.23773093166523,0.0,0.0,0.0,0.01976575526891903,0.01976575526891903,0.01976575526891903,0.01976575526891903,0.01976575526891903,0.01976575526891903,0.0,0.0,0.0,0.0,0.0,0.0,147.89239537585743
2016-01-02,144.96206935408406,69.36287654369868,233.8972299730887,131.943689870827,156.27251965936586,0.0,0.0,0.0,0.03787145584164246,0.03787145584164246,0.03787145584164246,0.03787145584164246,0.03787145584164246,0.03787145584164246,0.0,0.0,0.0,0.0,0.0,0.0,150.45199396234037
