ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,holidays,holidays_lower,holidays_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,zero_oil_production,zero_oil_production_lower,zero_oil_production_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
2010-09-15,2192.356097332197,90.24888205492272,1190.4114839130798,2192.356097332197,2192.356097332197,-0.905594,-0.905594,-0.905594,-0.7056223771962703,-0.7056223771962703,-0.7056223771962703,-0.010612355274461617,-0.010612355274461617,-0.010612355274461617,0.2105839780781913,0.2105839780781913,0.2105839780781913,-0.905594,-0.905594,-0.905594,0.0,0.0,0.0,645.3805762719144
2010-09-16,2189.876745688149,2124.5302493206377,3287.254138487262,2189.876745688149,2189.876745688149,0.0,0.0,0.0,0.23263296096416766,0.23263296096416766,0.23263296096416766,0.005450479999945787,0.005450479999945787,0.005450479999945787,0.22718248096422192,0.22718248096422192,0.22718248096422192,0.0,0.0,0.0,0.0,0.0,0.0,2699.314257184159
2010-09-17,2187.3973940441015,2171.929011711123,3247.0091570342047,2187.3973940441015,2187.3973940441015,0.0,0.0,0.0,0.2449371422824484,0.2449371422824484,0.2449371422824484,0.0022920367550443473,0.0022920367550443473,0.0022920367550443473,0.24264510552740404,0.24264510552740404,0.24264510552740404,0.0,0.0,0.0,0.0,0.0,0.0,2723.1722607773386
2010-09-18,2184.9180424000538,2184.8489975808534,3276.8139838057728,2184.9180424000538,2184.9180424000538,0.0,0.0,0.0,0.24588573938694738,0.24588573938694738,0.24588573938694738,-0.010777607174597387,-0.010777607174597387,-0.010777607174597387,0.25666334656154477,0.25666334656154477,0.25666334656154477,0.0,0.0,0.0,0.0,0.0,0.0,2722.1582307554727
2010-09-19,2182.4386907560065,258.8922158237998,1338.920417745067,2182.4386907560065,2182.4386907560065,-0.905594,-0.905594,-0.905594,-0.6355822303875067,-0.6355822303875067,-0.6355822303875067,0.0010520357920911672,0.0010520357920911672,0.0010520357920911672,0.2689597338204022,0.2689597338204022,0.2689597338204022,-0.905594,-0.905594,-0.905594,0.0,0.0,0.0,795.3194400013139
2010-09-20,2179.9593391119583,2201.961020273323,3279.3177074707323,2179.9593391119583,2179.9593391119583,0.0,0.0,0.0,0.2631626414938406,0.2631626414938406,0.2631626414938406,-0.016132018176472914,-0.016132018176472914,-0.016132018176472914,0.2792946596703135,0.2792946596703135,0.2792946596703135,0.0,0.0,0.0,0.0,0.0,0.0,2753.6431971418283
2010-09-21,2177.479987467911,2310.0547737997003,3424.5268851138926,2177.479987467911,2177.479987467911,0.0,0.0,0.0,0.3161996742527329,0.3161996742527329,0.3161996742527329,0.02872742807843436,0.02872742807843436,0.02872742807843436,0.28747224617429856,0.28747224617429856,0.28747224617429856,0.0,0.0,0.0,0.0,0.0,0.0,2865.9984501971094
2010-09-22,2175.000635823863,2216.4697446622777,3315.5593000167896,2175.000635823863,2175.000635823863,0.0,0.0,0.0,0.28273274261766596,0.28273274261766596,0.28273274261766596,-0.01061235527450351,-0.01061235527450351,-0.01061235527450351,0.2933450978921695,0.2933450978921695,0.2933450978921695,0.0,0.0,0.0,0.0,0.0,0.0,2789.9445307855112
2010-09-23,2172.5212841798157,348.11183143864406,1428.5561306026177,2172.5212841798157,2172.5212841798157,-0.905594,-0.905594,-0.905594,-0.6033257040080788,-0.6033257040080788,-0.6033257040080788,0.005450480000027427,0.005450480000027427,0.005450480000027427,0.2968178159918937,0.2968178159918937,0.2968178159918937,-0.905594,-0.905594,-0.905594,0.0,0.0,0.0,861.7833509294928
2010-09-24,2170.041932535768,2276.0869819597015,3349.572395797196,2170.041932535768,2170.041932535768,0.0,0.0,0.0,0.30014121875671906,0.30014121875671906,0.30014121875671906,0.002292036755194689,0.002292036755194689,0.002292036755194689,0.2978491820015244,0.2978491820015244,0.2978491820015244,0.0,0.0,0.0,0.0,0.0,0.0,2821.360962920239
2010-09-25,2167.5625808917207,2260.4461777843517,3356.803808613421,2167.5625808917207,2167.5625808917207,0.0,0.0,0.0,0.2856753476237237,0.2856753476237237,0.2856753476237237,-0.010777607174519038,-0.010777607174519038,-0.010777607174519038,0.29645295479824274,0.29645295479824274,0.29645295479824274,0.0,0.0,0.0,0.0,0.0,0.0,2786.781774684139
2010-09-26,2165.083229247673,2248.3436319839943,3348.240139742685,2165.083229247673,2165.083229247673,0.0,0.0,0.0,0.29374929706901326,0.29374929706901326,0.29374929706901326,0.0010520357920303066,0.0010520357920303066,0.0010520357920303066,0.29269726127698303,0.29269726127698303,0.29269726127698303,0.0,0.0,0.0,0.0,0.0,0.0,2801.074905935086
2010-09-27,2162.6038776036253,2187.779568960488,3316.9366651835594,2162.6038776036253,2162.6038776036253,0.0,0.0,0.0,0.2705705803810478,0.2705705803810478,0.2705705803810478,-0.016132018176466395,-0.016132018176466395,-0.016132018176466395,0.28670259855751423,0.28670259855751423,0.28670259855751423,0.0,0.0,0.0,0.0,0.0,0.0,2747.740863901143
2010-09-28,2160.124525959578,2276.454281577272,3349.587954820607,2160.124525959578,2160.124525959578,0.0,0.0,0.0,0.3073659306330303,0.3073659306330303,0.3073659306330303,0.02872742807845288,0.02872742807845288,0.02872742807845288,0.27863850255457745,0.27863850255457745,0.27863850255457745,0.0,0.0,0.0,0.0,0.0,0.0,2824.073211164377
2010-09-29,2157.64517431553,2167.1802053956353,3267.04509311382,2157.64517431553,2157.64517431553,0.0,0.0,0.0,0.25810661796320855,0.25810661796320855,0.25810661796320855,-0.010612355274495564,-0.010612355274495564,-0.010612355274495564,0.2687189732377041,0.2687189732377041,0.2687189732377041,0.0,0.0,0.0,0.0,0.0,0.0,2714.5476730227488
2010-09-30,2155.1658226714826,2212.123672482561,3306.2530560595205,2155.1658226714826,2155.1658226714826,0.0,0.0,0.0,0.26264725997393684,0.26264725997393684,0.26264725997393684,0.005450479999893748,0.005450479999893748,0.005450479999893748,0.2571967799740431,0.2571967799740431,0.2571967799740431,0.0,0.0,0.0,0.0,0.0,0.0,2721.214220785623
2010-10-01,2152.686471027435,2161.095938653158,3175.060225560835,2152.686471027435,2152.686471027435,0.0,0.0,0.0,0.24664883682393113,0.24664883682393113,0.24664883682393113,0.002292036755224467,0.002292036755224467,0.002292036755224467,0.24435680006870666,0.24435680006870666,0.24435680006870666,0.0,0.0,0.0,0.0,0.0,0.0,2683.6440851529646
2010-10-02,2150.207119383387,2076.097302026487,3160.5822479038034,2150.207119383387,2150.207119383387,0.0,0.0,0.0,0.21973096200676048,0.21973096200676048,0.21973096200676048,-0.010777607174668077,-0.010777607174668077,-0.010777607174668077,0.23050856918142856,0.23050856918142856,0.23050856918142856,0.0,0.0,0.0,0.0,0.0,0.0,2622.674198239284
2010-10-03,2147.7277677393395,2021.3541494559727,3160.0102423968347,2147.7277677393395,2147.7277677393395,0.0,0.0,0.0,0.21703027879352937,0.21703027879352937,0.21703027879352937,0.0010520357919661433,0.0010520357919661433,0.0010520357919661433,0.21597824300156324,0.21597824300156324,0.21597824300156324,0.0,0.0,0.0,0.0,0.0,0.0,2613.8497239444127
