ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,holidays,holidays_lower,holidays_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,weekly,weekly_lower,weekly_upper,zero_oil_production,zero_oil_production_lower,zero_oil_production_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
2017-01-14,23.224611148026586,0.0,738.9135616316628,-580.5689435413998,652.6988100364774,0.0,0.0,0.0,0.08999230042821917,0.08999230042821917,0.08999230042821917,0.08999230042821917,0.08999230042821917,0.08999230042821917,0.0,0.0,0.0,0.0,0.0,0.0,25.314647331788365
2017-01-15,22.663068125680816,0.0,671.8378382377838,-583.763497533708,654.0818025789669,0.0,0.0,0.0,-0.009545827987193476,-0.009545827987193476,-0.009545827987193476,-0.009545827987193476,-0.009545827987193476,-0.009545827987193476,0.0,0.0,0.0,0.0,0.0,0.0,22.44673037569102
2017-01-16,22.101525103334872,0.0,640.2526777872976,-587.7334792854953,655.3464399808762,0.0,0.0,0.0,-0.036155765590560676,-0.036155765590560676,-0.036155765590560676,-0.036155765590560676,-0.036155765590560676,-0.036155765590560676,0.0,0.0,0.0,0.0,0.0,0.0,21.302427542504805
2017-01-17,21.539982080989013,0.0,660.5681973739314,-591.2141686699705,656.5624496275932,0.0,0.0,0.0,-0.02599577929101824,-0.02599577929101824,-0.02599577929101824,-0.02599577929101824,-0.02599577929101824,-0.02599577929101824,0.0,0.0,0.0,0.0,0.0,0.0,20.980033460879135
2017-01-18,20.97843905864324,0.0,626.6506142365298,-590.4059130071581,657.7573537642422,0.0,0.0,0.0,-0.03794457377437025,-0.03794457377437025,-0.03794457377437025,-0.03794457377437025,-0.03794457377437025,-0.03794457377437025,0.0,0.0,0.0,0.0,0.0,0.0,20.182421130111422
2017-01-19,20.416896036297295,0.0,695.6412636375628,-593.0747604659526,658.9522579008913,0.0,0.0,0.0,0.0021749700000394147,0.0021749700000394147,0.0021749700000394147,0.0021749700000394147,0.0021749700000394147,0.0021749700000394147,0.0,0.0,0.0,0.0,0.0,0.0,20.461302172670166
2017-01-20,19.85535301395144,0.0,702.4899156137893,-596.3325913421343,660.0362187099313,0.0,0.0,0.0,0.017474676214764114,0.017474676214764114,0.017474676214764114,0.017474676214764114,0.017474676214764114,0.017474676214764114,0.0,0.0,0.0,0.0,0.0,0.0,20.202318879000085
2017-01-21,19.293809991605666,0.0,732.1078561874384,-598.5127396357631,660.7020723915541,0.0,0.0,0.0,0.08999230042817313,0.08999230042817313,0.08999230042817313,0.08999230042817313,0.08999230042817313,0.08999230042817313,0.0,0.0,0.0,0.0,0.0,0.0,21.030104336774333
2017-01-22,18.732266969259722,0.0,690.2185635036744,-601.9072887328838,661.5080562407081,0.0,0.0,0.0,-0.009545827986657719,-0.009545827986657719,-0.009545827986657719,-0.009545827986657719,-0.009545827986657719,-0.009545827986657719,0.0,0.0,0.0,0.0,0.0,0.0,18.553451970971018
2017-01-23,18.170723946913864,0.0,654.9876193129764,-605.7870280203431,662.3140400898624,0.0,0.0,0.0,-0.03615576559060538,-0.03615576559060538,-0.03615576559060538,-0.03615576559060538,-0.03615576559060538,-0.03615576559060538,0.0,0.0,0.0,0.0,0.0,0.0,17.513747511277646
2017-01-24,17.609180924568093,0.0,668.7494346541373,-608.6594826196288,663.3347294839314,0.0,0.0,0.0,-0.02599577929096529,-0.02599577929096529,-0.02599577929096529,-0.02599577929096529,-0.02599577929096529,-0.02599577929096529,0.0,0.0,0.0,0.0,0.0,0.0,17.151416543758344
2017-01-25,17.04763790222215,0.0,693.7527105489869,-611.9802231017572,666.5846718568641,0.0,0.0,0.0,-0.03794457377426775,-0.03794457377426775,-0.03794457377426775,-0.03794457377426775,-0.03794457377426775,-0.03794457377426775,0.0,0.0,0.0,0.0,0.0,0.0,16.400772548164277
2017-01-26,16.48609487987629,0.0,688.5864018815528,-615.3009635838856,670.1702607046159,0.0,0.0,0.0,0.0021749699999298044,0.0021749699999298044,0.0021749699999298044,0.0021749699999298044,0.0021749699999298044,0.0021749699999298044,0.0,0.0,0.0,0.0,0.0,0.0,16.521951641656017
2017-01-27,15.924551857530519,0.0,723.7057038963986,-618.5528594823347,673.2311678877345,0.0,0.0,0.0,0.01747467621467708,0.01747467621467708,0.01747467621467708,0.01747467621467708,0.01747467621467708,0.01747467621467708,0.0,0.0,0.0,0.0,0.0,0.0,16.2028282451047
2017-01-28,15.363008835184575,0.0,755.2269320805173,-621.4956165969845,675.3550603587526,0.0,0.0,0.0,0.0899923004282039,0.0899923004282039,0.0899923004282039,0.0899923004282039,0.0899923004282039,0.0899923004282039,0.0,0.0,0.0,0.0,0.0,0.0,16.745561341761658
