ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
2016-04-21,3364.760675625193,-3046.876590708894,-2983.8349566768175,3330.2353819279215,3400.5956677959603,-1.8959832005254058,-1.8959832005254058,-1.8959832005254058,-1.8959832005254058,-1.8959832005254058,-1.8959832005254058,0.0,0.0,0.0,-3014.769039148687
2016-04-22,3356.1668564403844,-1723.0270879825807,-1682.247861735658,3317.499832499706,3397.919058237771,-1.5070830286625458,-1.5070830286625458,-1.5070830286625458,-1.5070830286625458,-1.5070830286625458,-1.5070830286625458,0.0,0.0,0.0,-1701.8552542606458
2016-04-23,3347.5730372555754,-465.1091898944583,-452.17948314710037,3304.5897933170145,3399.0818552052124,-1.1368337711412453,-1.1368337711412453,-1.1368337711412453,-1.1368337711412453,-1.1368337711412453,-1.1368337711412453,0.0,0.0,0.0,-458.06104285843276
2016-04-24,3338.979218070768,693.2611888456515,715.8227581290005,3289.26278049786,3396.3089112484586,-0.7892350852629115,-0.7892350852629115,-0.7892350852629115,-0.7892350852629115,-0.7892350852629115,-0.7892350852629115,0.0,0.0,0.0,703.7396702055958
2016-04-25,3330.3853988859596,1748.0621659153487,1812.7712301778208,3274.4209941973195,3395.6321996743245,-0.46614617704640215,-0.46614617704640215,-0.46614617704640215,-0.46614617704640215,-0.46614617704640215,-0.46614617704640215,0.0,0.0,0.0,1777.9389771041124
2016-04-26,3321.7915797011538,2715.3844472006936,2828.5811867962943,3260.790551804546,3396.7237389510774,-0.16726192509678373,-0.16726192509678373,-0.16726192509678373,-0.16726192509678373,-0.16726192509678373,-0.16726192509678373,0.0,0.0,0.0,2766.1823253100524
2016-04-27,3313.197760516345,3601.7842466087814,3768.591648339122,3245.371167206572,3395.672210673753,0.10982197792962034,0.10982197792962034,0.10982197792962034,0.10982197792962034,0.10982197792962034,0.10982197792962034,0.0,0.0,0.0,3677.059691848239
2016-04-28,3304.6039413315366,4417.018597612616,4646.373414931266,3225.381121990806,3392.8598597058203,0.3694563311785004,0.3694563311785004,0.3694563311785004,0.3694563311785004,0.3694563311785004,0.3694563311785004,0.0,0.0,0.0,4525.510789493898
2016-04-29,3296.0101221467294,5191.1435570448375,5485.42254819958,3208.9602954225866,3390.87196618822,0.6177026446776539,0.6177026446776539,0.6177026446776539,0.6177026446776539,0.6177026446776539,0.6177026446776539,0.0,0.0,0.0,5331.964291481081
2016-04-30,3287.4163029619203,5946.746793225381,6319.486771816032,3193.704477456309,3393.8847402891097,0.862021622738065,0.862021622738065,0.862021622738065,0.862021622738065,0.862021622738065,0.862021622738065,0.0,0.0,0.0,6121.240239056725
